rfq_index,rfq_date,rfq_product_type,rfq_location,rfq_title,rfq_description,supplier_index,supplier_name,supplier_product_type,supplier_product_name,supplier_product_description,supplier_delivery_area,product_match,location_match,text_similarity
37,2024-08-14,Audio,Amsterdam,Need Audio,"Hello, I'm searching for Audio with specific features. Do you have anything suitable in stock?",924,Lawrence-Bridges,Clothing,Obsidian Flux Sneakers,Experience comfortable footwear for everyday use or sports. Loved by eco-conscious spaces..,"Oslo, Vienna, Copenhagen, Dublin, Helsinki",0,0,0.0
38,2024-08-15,Electronics,Brussels,Inquiry: Electronics,"Hello, I'm searching for Electronics with specific features. Do you have anything suitable in stock?",384,Meyer-Bennett,Electronics,Luminous Orbit Laptop,Discover the portable computer for personal or professional use. Perfect for outdoor adventures..,"Vienna, Munich, Prague",1,0,0.0
38,2024-08-15,Electronics,Brussels,Inquiry: Electronics,"Hello, I'm searching for Electronics with specific features. Do you have anything suitable in stock?",804,Howard-Beasley,Furniture,Velvet Flux Set,Our set stands out: table with matching chairs for dining purposes. Great for all-day comfort..,"Oslo, Budapest, Paris",0,0,0.0
38,2024-08-15,Electronics,Brussels,Inquiry: Electronics,"Hello, I'm searching for Electronics with specific features. Do you have anything suitable in stock?",309,Newton Inc,Service,Luminous Vertex Cleaning,"Our cleaning stands out: complete house cleaning service including dusting, vacuuming, and sanitizing. Great for outdoor adventures..","Athens, Madrid, Warsaw",0,0,0.0
38,2024-08-15,Electronics,Brussels,Inquiry: Electronics,"Hello, I'm searching for Electronics with specific features. Do you have anything suitable in stock?",845,Richard LLC,Books,Vivid Essence Book,Discover the guidebook offering advice for personal improvement. Perfect for modern lifestyles..,"Rome, Budapest, Lisbon",0,0,0.0
38,2024-08-15,Electronics,Brussels,Inquiry: Electronics,"Hello, I'm searching for Electronics with specific features. Do you have anything suitable in stock?",813,Scott-Washington,Audio,Cascade Aura Microphone,Discover the high-quality microphone for recording vocals or podcasts. Perfect for everyday use..,"Vienna, Amsterdam, Rome, Athens",0,0,0.0
39,2024-08-16,Audio,Berlin,RFQ: Audio,"Hello, I'm interested in purchasing Audio for my upcoming project. Could you share your catalog and pricing?",770,Jones Inc,Audio,Radiant Spectrum Soundbar,Our soundbar stands out: compact speaker system designed to enhance tv audio. Great for everyday use..,"Madrid, Dublin, Brussels, Stockholm, Athens",1,0,0.12026441890381565
39,2024-08-16,Audio,Berlin,RFQ: Audio,"Hello, I'm interested in purchasing Audio for my upcoming project. Could you share your catalog and pricing?",388,Meyer-Bennett,Food,Serene Vista Pasta,"Experience long, thin pasta ideal for traditional italian dishes. Loved by tech-savvy users..","Vienna, Munich, Prague",0,0,0.0
39,2024-08-16,Audio,Berlin,RFQ: Audio,"Hello, I'm interested in purchasing Audio for my upcoming project. Could you share your catalog and pricing?",802,Howard-Beasley,Furniture,Zenith Odyssey Chair,"Introducing our chair, adjustable ergonomic chair for desk and office use. Ideal for home enthusiasts..","Oslo, Budapest, Paris",0,0,0.0
39,2024-08-16,Audio,Berlin,RFQ: Audio,"Hello, I'm interested in purchasing Audio for my upcoming project. Could you share your catalog and pricing?",300,Holloway-Douglas,Sporting Goods,Radiant Arc Racket,"Introducing our racket, lightweight racket for playing tennis. Ideal for creative work..","Berlin, Warsaw, Amsterdam, Prague",0,1,0.0
39,2024-08-16,Audio,Berlin,RFQ: Audio,"Hello, I'm interested in purchasing Audio for my upcoming project. Could you share your catalog and pricing?",933,"Kennedy, Mays and Bennett",Food,Prism Eclipse Oil,Experience cold-pressed extra virgin olive oil for cooking and salads. Loved by home enthusiasts..,"Rome, Vienna",0,0,0.0
40,2024-08-19,Books,Vienna,Seeking Books,"Hello, I'm interested in purchasing Books for my upcoming project. Could you share your catalog and pricing?",843,Richard LLC,Books,Nimbus Spectrum Cookbook,Elevate your experience with collection of recipes and cooking tips. Designed for professional setups..,"Rome, Budapest, Lisbon",1,0,0.0
40,2024-08-19,Books,Vienna,Seeking Books,"Hello, I'm interested in purchasing Books for my upcoming project. Could you share your catalog and pricing?",914,Quinn-Ortega,Food,Vertex Zenith Pasta,"Experience long, thin pasta ideal for traditional italian dishes. Loved by outdoor adventures..","Paris, Amsterdam, Athens",0,0,0.0
40,2024-08-19,Books,Vienna,Seeking Books,"Hello, I'm interested in purchasing Books for my upcoming project. Could you share your catalog and pricing?",30,"Stark, Miller and Hernandez",Clothing,Halo Orbit Pack,"Introducing our pack, multiple pairs of cotton or wool socks for daily use. Ideal for tech-savvy users..","Amsterdam, Munich, Copenhagen, Rome, Vienna",0,1,0.0
40,2024-08-19,Books,Vienna,Seeking Books,"Hello, I'm interested in purchasing Books for my upcoming project. Could you share your catalog and pricing?",975,"Doyle, Hudson and Myers",Electronics,Serene Essence Tablet,"Experience touchscreen device for browsing, reading, and apps. Loved by tech-savvy users..","Oslo, Madrid, Prague, Barcelona",0,0,0.0
40,2024-08-19,Books,Vienna,Seeking Books,"Hello, I'm interested in purchasing Books for my upcoming project. Could you share your catalog and pricing?",962,Harmon-Pace,Audio,Quantum Pinnacle Turntable,Our turntable stands out: vinyl record player with modern audio outputs. Great for outdoor adventures..,"Oslo, Munich, Copenhagen, Madrid, Zurich",0,0,0.0
41,2024-08-20,Service,Berlin,RFQ: Service,"Dear supplier, I need Service delivered to Berlin. Kindly send me details on availability and cost.",399,"Robinson, Adams and Allen",Service,Obsidian Essence Support,"Elevate your experience with technical assistance for computers, networks, and devices. Designed for creative work..","Berlin, Brussels, Paris, Amsterdam, Rome",1,1,0.0
41,2024-08-20,Service,Berlin,RFQ: Service,"Dear supplier, I need Service delivered to Berlin. Kindly send me details on availability and cost.",578,Allen and Sons,Clothing,Serene Wave Sneakers,"Introducing our sneakers, comfortable footwear for everyday use or sports. Ideal for creative work..","Prague, Zurich, Madrid, Lisbon, Budapest",0,0,0.0
41,2024-08-20,Service,Berlin,RFQ: Service,"Dear supplier, I need Service delivered to Berlin. Kindly send me details on availability and cost.",673,Jones-Harper,Food,Celestial Arc Oil,Elevate your experience with cold-pressed extra virgin olive oil for cooking and salads. Designed for creative work..,"Brussels, Warsaw, Amsterdam, Rome, Berlin",0,1,0.0
41,2024-08-20,Service,Berlin,RFQ: Service,"Dear supplier, I need Service delivered to Berlin. Kindly send me details on availability and cost.",690,"Garcia, Mcfarland and Ferguson",Electronics,Echo Odyssey Laptop,"Introducing our laptop, portable computer for personal or professional use. Ideal for on-the-go convenience..","Warsaw, Paris, Rome",0,0,0.0
41,2024-08-20,Service,Berlin,RFQ: Service,"Dear supplier, I need Service delivered to Berlin. Kindly send me details on availability and cost.",565,Ross-Stewart,Sporting Goods,Celestial Wave Ball,Discover the ball used in the sport of soccer/football. Perfect for all-day comfort..,"Munich, Copenhagen",0,0,0.0
42,2024-08-21,Audio,Rome,Request for Audio,"Dear supplier, I need Audio delivered to Rome. Kindly send me details on availability and cost.",358,"Huff, Hoffman and Bennett",Audio,Zenith Zenith Microphone,Discover the high-quality microphone for recording vocals or podcasts. Perfect for outdoor adventures..,"Barcelona, Berlin, Vienna, Helsinki, Stockholm",1,0,0.0
42,2024-08-21,Audio,Rome,Request for Audio,"Dear supplier, I need Audio delivered to Rome. Kindly send me details on availability and cost.",955,Osborne PLC,Clothing,Solstice Reverie Pack,Our pack stands out: multiple pairs of cotton or wool socks for daily use. Great for all-day comfort..,"Brussels, Munich, Dublin",0,0,0.0
42,2024-08-21,Audio,Rome,Request for Audio,"Dear supplier, I need Audio delivered to Rome. Kindly send me details on availability and cost.",491,"Ford, Brown and Hughes",Food,Serene Matrix Yogurt,"Discover the thick, creamy yogurt rich in protein and probiotics. Perfect for home enthusiasts..","Rome, Zurich, Dublin, Helsinki",0,1,0.0
42,2024-08-21,Audio,Rome,Request for Audio,"Dear supplier, I need Audio delivered to Rome. Kindly send me details on availability and cost.",384,Meyer-Bennett,Electronics,Luminous Orbit Laptop,Discover the portable computer for personal or professional use. Perfect for outdoor adventures..,"Vienna, Munich, Prague",0,0,0.0
42,2024-08-21,Audio,Rome,Request for Audio,"Dear supplier, I need Audio delivered to Rome. Kindly send me details on availability and cost.",817,Scott-Washington,Clothing,Serene Aura Pack,"Introducing our pack, multiple pairs of cotton or wool socks for daily use. Ideal for home enthusiasts..","Vienna, Amsterdam, Rome, Athens",0,1,0.0
43,2024-08-22,Furniture,Munich,Looking for Furniture,"Hello, I'm interested in Furniture. Can you provide product details and pricing for delivery to Munich?",542,Green-Cole,Furniture,Zenith Vista Set,"Introducing our set, table with matching chairs for dining purposes. Ideal for everyday use..","Berlin, Barcelona, Stockholm, Paris",1,0,0.0
43,2024-08-22,Furniture,Munich,Looking for Furniture,"Hello, I'm interested in Furniture. Can you provide product details and pricing for delivery to Munich?",533,Brewer-Williams,Clothing,Zenith Flux Sneakers,Elevate your experience with comfortable footwear for everyday use or sports. Designed for all-day comfort..,"Brussels, Zurich, Barcelona",0,0,0.0
43,2024-08-22,Furniture,Munich,Looking for Furniture,"Hello, I'm interested in Furniture. Can you provide product details and pricing for delivery to Munich?",551,"Gill, Raymond and Henry",Service,Celestial Matrix Support,"Elevate your experience with technical assistance for computers, networks, and devices. Designed for everyday use..","Warsaw, Zurich",0,0,0.0
43,2024-08-22,Furniture,Munich,Looking for Furniture,"Hello, I'm interested in Furniture. Can you provide product details and pricing for delivery to Munich?",968,Fernandez-Mccormick,Electronics,Celestial Pulse Router,Discover the device that distributes internet connection wirelessly. Perfect for everyday use..,"Athens, Budapest, Berlin, Brussels, Lisbon",0,0,0.0
43,2024-08-22,Furniture,Munich,Looking for Furniture,"Hello, I'm interested in Furniture. Can you provide product details and pricing for delivery to Munich?",364,"Ramirez, Peck and Thompson",Service,Prism Reverie Support,"Discover the technical assistance for computers, networks, and devices. Perfect for professional setups..","Helsinki, Brussels, Oslo, Dublin",0,0,0.0
44,2024-08-23,Toys,Prague,Need Toys,"Hello, I'm interested in purchasing Toys for my upcoming project. Could you share your catalog and pricing?",465,Stephens Ltd,Toys,Pinnacle Vertex Car,"Introducing our car, remote-controlled car powered by batteries. Ideal for tech-savvy users..","Rome, Berlin",1,0,0.0
44,2024-08-23,Toys,Prague,Need Toys,"Hello, I'm interested in purchasing Toys for my upcoming project. Could you share your catalog and pricing?",559,Mueller-Cox,Furniture,Echo Mirage Set,Elevate your experience with table with matching chairs for dining purposes. Designed for modern lifestyles..,"Zurich, Copenhagen, Oslo",0,0,0.0
44,2024-08-23,Toys,Prague,Need Toys,"Hello, I'm interested in purchasing Toys for my upcoming project. Could you share your catalog and pricing?",909,Wright LLC,Beauty,Solstice Pulse Balm,Experience wax-like substance to protect and soothe lips. Loved by professional setups..,"Oslo, Amsterdam, Helsinki, Dublin, Barcelona",0,0,0.0
44,2024-08-23,Toys,Prague,Need Toys,"Hello, I'm interested in purchasing Toys for my upcoming project. Could you share your catalog and pricing?",960,Osborne PLC,Books,Vertex Spectrum Book,"Introducing our book, guidebook offering advice for personal improvement. Ideal for home enthusiasts..","Brussels, Munich, Dublin",0,0,0.0
44,2024-08-23,Toys,Prague,Need Toys,"Hello, I'm interested in purchasing Toys for my upcoming project. Could you share your catalog and pricing?",677,Jones-Harper,Audio,Luminous Solace Speaker,Elevate your experience with wireless speaker with bluetooth connectivity and rich sound. Designed for home enthusiasts..,"Brussels, Warsaw, Amsterdam, Rome, Berlin",0,0,0.0
45,2024-08-26,Books,Vienna,Need Books,"Hello, I'm interested in Books. Can you provide product details and pricing for delivery to Vienna?",656,Thompson-Matthews,Books,Aurora Essence Book,"Introducing our book, illustrated book for young readers. Ideal for eco-conscious spaces..","Warsaw, Munich, Madrid, Budapest, Stockholm",1,0,0.0
45,2024-08-26,Books,Vienna,Need Books,"Hello, I'm interested in Books. Can you provide product details and pricing for delivery to Vienna?",657,Baker and Sons,Food,Quantum Vista Oil,Our oil stands out: cold-pressed extra virgin olive oil for cooking and salads. Great for tech-savvy users..,"Berlin, Prague, Copenhagen",0,0,0.0
45,2024-08-26,Books,Vienna,Need Books,"Hello, I'm interested in Books. Can you provide product details and pricing for delivery to Vienna?",167,"Ross, Tyler and Fleming",Beauty,Eclipse Matrix Shampoo,Elevate your experience with liquid soap for cleaning hair and scalp. Designed for professional setups..,"Athens, Amsterdam, Prague",0,0,0.0
45,2024-08-26,Books,Vienna,Need Books,"Hello, I'm interested in Books. Can you provide product details and pricing for delivery to Vienna?",441,Baker LLC,Beauty,Prism Wave Balm,Elevate your experience with wax-like substance to protect and soothe lips. Designed for tech-savvy users..,"Amsterdam, Paris",0,0,0.0
45,2024-08-26,Books,Vienna,Need Books,"Hello, I'm interested in Books. Can you provide product details and pricing for delivery to Vienna?",133,Jackson PLC,Furniture,Obsidian Flux Frame,"Elevate your experience with support structure for mattresses, available in multiple sizes. Designed for creative work..","Vienna, Lisbon, Barcelona, Athens, Prague",0,1,0.0
46,2024-08-27,Sporting Goods,Dublin,Looking for Sporting Goods,"Hello, I'm interested in purchasing Sporting Goods for my upcoming project. Could you share your catalog and pricing?",565,Ross-Stewart,Sporting Goods,Celestial Wave Ball,Discover the ball used in the sport of soccer/football. Perfect for all-day comfort..,"Munich, Copenhagen",1,0,0.0
46,2024-08-27,Sporting Goods,Dublin,Looking for Sporting Goods,"Hello, I'm interested in purchasing Sporting Goods for my upcoming project. Could you share your catalog and pricing?",325,"Shelton, Moran and Rodriguez",Toys,Solstice Orbit Bear,Elevate your experience with soft stuffed toy shaped like a bear. Designed for professional setups..,"Munich, Warsaw",0,0,0.0
46,2024-08-27,Sporting Goods,Dublin,Looking for Sporting Goods,"Hello, I'm interested in purchasing Sporting Goods for my upcoming project. Could you share your catalog and pricing?",203,Davis-Reynolds,Service,Pinnacle Zenith Grooming,"Discover the washing, brushing, and trimming services for all types of pets. Perfect for home enthusiasts..","Barcelona, Munich, Rome",0,0,0.0
46,2024-08-27,Sporting Goods,Dublin,Looking for Sporting Goods,"Hello, I'm interested in purchasing Sporting Goods for my upcoming project. Could you share your catalog and pricing?",67,"Carter, Martin and King",Clothing,Quantum Essence Sneakers,Discover the comfortable footwear for everyday use or sports. Perfect for tech-savvy users..,"Lisbon, Stockholm, Dublin, Barcelona, Prague",0,1,0.0
46,2024-08-27,Sporting Goods,Dublin,Looking for Sporting Goods,"Hello, I'm interested in purchasing Sporting Goods for my upcoming project. Could you share your catalog and pricing?",487,"Clark, Rivera and Graham",Electronics,Solstice Wave Router,Discover the device that distributes internet connection wirelessly. Perfect for professional setups..,"Prague, Munich, Berlin, Oslo, Madrid",0,0,0.0
47,2024-08-28,Clothing,Paris,Request for Clothing,"Dear supplier, I need Clothing delivered to Paris. Kindly send me details on availability and cost.",654,Atkins-Richards,Clothing,Serene Reverie T-Shirt,Our t-shirt stands out: casual cotton shirt with short sleeves. Great for all-day comfort..,"Amsterdam, Madrid, Brussels, Athens",1,0,0.0
47,2024-08-28,Clothing,Paris,Request for Clothing,"Dear supplier, I need Clothing delivered to Paris. Kindly send me details on availability and cost.",828,"Ellis, Lee and Hunt",Sporting Goods,Vertex Odyssey Tracker,Our tracker stands out: wearable device for tracking health metrics. Great for outdoor adventures..,"Helsinki, Amsterdam",0,0,0.0
47,2024-08-28,Clothing,Paris,Request for Clothing,"Dear supplier, I need Clothing delivered to Paris. Kindly send me details on availability and cost.",494,"Moody, Fernandez and Simpson",Audio,Serene Vector Speaker,"Introducing our speaker, wireless speaker with bluetooth connectivity and rich sound. Ideal for everyday use..","Amsterdam, Budapest, Berlin, Stockholm, Munich",0,0,0.0
47,2024-08-28,Clothing,Paris,Request for Clothing,"Dear supplier, I need Clothing delivered to Paris. Kindly send me details on availability and cost.",549,Green-Cole,Sporting Goods,Halo Horizon Ball,Experience ball used in the sport of soccer/football. Loved by everyday use..,"Berlin, Barcelona, Stockholm, Paris",0,1,0.0
47,2024-08-28,Clothing,Paris,Request for Clothing,"Dear supplier, I need Clothing delivered to Paris. Kindly send me details on availability and cost.",994,Hunt Ltd,Beauty,Nexus Horizon Balm,"Introducing our balm, wax-like substance to protect and soothe lips. Ideal for home enthusiasts..","Stockholm, Paris",0,1,0.0
48,2024-08-29,Books,Dublin,Inquiry: Books,"Hello, I'm searching for Books with specific features. Do you have anything suitable in stock?",843,Richard LLC,Books,Nimbus Spectrum Cookbook,Elevate your experience with collection of recipes and cooking tips. Designed for professional setups..,"Rome, Budapest, Lisbon",1,0,0.0
48,2024-08-29,Books,Dublin,Inquiry: Books,"Hello, I'm searching for Books with specific features. Do you have anything suitable in stock?",245,Holden-Taylor,Service,Nimbus Pinnacle Support,"Introducing our support, technical assistance for computers, networks, and devices. Ideal for outdoor adventures..","Zurich, Brussels, Barcelona, Stockholm",0,0,0.0
48,2024-08-29,Books,Dublin,Inquiry: Books,"Hello, I'm searching for Books with specific features. Do you have anything suitable in stock?",226,Rivera Inc,Sporting Goods,Zenith Pulse Ball,"Introducing our ball, ball used in the sport of soccer/football. Ideal for modern lifestyles..","Helsinki, Barcelona, Warsaw, Rome",0,0,0.0
48,2024-08-29,Books,Dublin,Inquiry: Books,"Hello, I'm searching for Books with specific features. Do you have anything suitable in stock?",481,"Jones, Garner and Mclaughlin",Furniture,Luminous Solace Frame,"Our frame stands out: support structure for mattresses, available in multiple sizes. Great for eco-conscious spaces..","Warsaw, Oslo, Berlin",0,0,0.0
48,2024-08-29,Books,Dublin,Inquiry: Books,"Hello, I'm searching for Books with specific features. Do you have anything suitable in stock?",820,Scott-Washington,Beauty,Velvet Arc Shampoo,Discover the liquid soap for cleaning hair and scalp. Perfect for modern lifestyles..,"Vienna, Amsterdam, Rome, Athens",0,0,0.0
49,2024-08-30,Beauty,Rome,Request for Beauty,"Hello, I'm interested in purchasing Beauty for my upcoming project. Could you share your catalog and pricing?",820,Scott-Washington,Beauty,Velvet Arc Shampoo,Discover the liquid soap for cleaning hair and scalp. Perfect for modern lifestyles..,"Vienna, Amsterdam, Rome, Athens",1,1,0.0
49,2024-08-30,Beauty,Rome,Request for Beauty,"Hello, I'm interested in purchasing Beauty for my upcoming project. Could you share your catalog and pricing?",980,Hamilton-Torres,Toys,Serene Essence Bear,Discover the soft stuffed toy shaped like a bear. Perfect for outdoor adventures..,"Helsinki, Oslo, Madrid",0,0,0.0
49,2024-08-30,Beauty,Rome,Request for Beauty,"Hello, I'm interested in purchasing Beauty for my upcoming project. Could you share your catalog and pricing?",981,Hamilton-Torres,Electronics,Zenith Solace Smartphone,"Our smartphone stands out: portable device for calls, internet, apps, and more. Great for all-day comfort..","Helsinki, Oslo, Madrid",0,0,0.0
49,2024-08-30,Beauty,Rome,Request for Beauty,"Hello, I'm interested in purchasing Beauty for my upcoming project. Could you share your catalog and pricing?",142,Anderson LLC,Toys,Pinnacle Vista Car,Our car stands out: remote-controlled car powered by batteries. Great for everyday use..,"Brussels, Dublin",0,0,0.0
49,2024-08-30,Beauty,Rome,Request for Beauty,"Hello, I'm interested in purchasing Beauty for my upcoming project. Could you share your catalog and pricing?",800,Howard-Beasley,Sporting Goods,Celestial Wave Mat,Discover the mat providing cushioning for yoga and exercises. Perfect for outdoor adventures..,"Oslo, Budapest, Paris",0,0,0.0
50,2024-09-02,Service,Dublin,Seeking Service,"Hello, I'm searching for Service with specific features. Do you have anything suitable in stock?",857,Prince-Taylor,Service,Vertex Reverie Tutoring,Experience one-on-one educational support for various school subjects. Loved by outdoor adventures..,"Amsterdam, Zurich",1,0,0.0
50,2024-09-02,Service,Dublin,Seeking Service,"Hello, I'm searching for Service with specific features. Do you have anything suitable in stock?",893,Petty-Thomas,Audio,Echo Mirage Microphone,"Introducing our microphone, high-quality microphone for recording vocals or podcasts. Ideal for tech-savvy users..","Helsinki, Vienna",0,0,0.0
50,2024-09-02,Service,Dublin,Seeking Service,"Hello, I'm searching for Service with specific features. Do you have anything suitable in stock?",209,Molina Ltd,Sporting Goods,Solstice Vector Tracker,"Introducing our tracker, wearable device for tracking health metrics. Ideal for modern lifestyles..","Dublin, Rome, Lisbon, Barcelona",0,1,0.0
50,2024-09-02,Service,Dublin,Seeking Service,"Hello, I'm searching for Service with specific features. Do you have anything suitable in stock?",246,Holden-Taylor,Toys,Vertex Pinnacle Car,Our car stands out: remote-controlled car powered by batteries. Great for tech-savvy users..,"Zurich, Brussels, Barcelona, Stockholm",0,0,0.0
50,2024-09-02,Service,Dublin,Seeking Service,"Hello, I'm searching for Service with specific features. Do you have anything suitable in stock?",454,Lee Ltd,Electronics,Zenith Reverie Tablet,"Introducing our tablet, touchscreen device for browsing, reading, and apps. Ideal for on-the-go convenience..","Barcelona, Athens, Lisbon, Munich",0,0,0.0
51,2024-09-03,Furniture,Amsterdam,Need Furniture,"Dear supplier, I need Furniture delivered to Amsterdam. Kindly send me details on availability and cost.",391,"Robinson, Adams and Allen",Furniture,Nimbus Wave Set,"Introducing our set, table with matching chairs for dining purposes. Ideal for tech-savvy users..","Berlin, Brussels, Paris, Amsterdam, Rome",1,1,0.0
51,2024-09-03,Furniture,Amsterdam,Need Furniture,"Dear supplier, I need Furniture delivered to Amsterdam. Kindly send me details on availability and cost.",848,Richard LLC,Food,Echo Wave Bar,"Introducing our bar, a wholesome snack bar made with oats, honey, and nuts. Ideal for professional setups..","Rome, Budapest, Lisbon",0,0,0.0
51,2024-09-03,Furniture,Amsterdam,Need Furniture,"Dear supplier, I need Furniture delivered to Amsterdam. Kindly send me details on availability and cost.",892,Petty-Thomas,Beauty,Prism Aura Lotion,Our lotion stands out: moisturizer applied to the body to keep skin soft. Great for creative work..,"Helsinki, Vienna",0,0,0.0
51,2024-09-03,Furniture,Amsterdam,Need Furniture,"Dear supplier, I need Furniture delivered to Amsterdam. Kindly send me details on availability and cost.",430,Garcia-Arias,Toys,Echo Wave Bear,"Introducing our bear, soft stuffed toy shaped like a bear. Ideal for modern lifestyles..","Vienna, Dublin, Zurich, Barcelona, Helsinki",0,0,0.0
51,2024-09-03,Furniture,Amsterdam,Need Furniture,"Dear supplier, I need Furniture delivered to Amsterdam. Kindly send me details on availability and cost.",464,Stephens Ltd,Sporting Goods,Aurora Arc Racket,Elevate your experience with lightweight racket for playing tennis. Designed for professional setups..,"Rome, Berlin",0,0,0.0
52,2024-09-04,Toys,Paris,RFQ: Toys,"Hi, do you have any Toys available? I'm planning to buy soon and need delivery to Paris.",273,"Hill, Hall and Williams",Toys,Radiant Orbit Set,Elevate your experience with set of pieces to be assembled into a complete picture. Designed for on-the-go convenience..,"Copenhagen, Barcelona, Dublin, Budapest, Stockholm",1,0,0.0
52,2024-09-04,Toys,Paris,RFQ: Toys,"Hi, do you have any Toys available? I'm planning to buy soon and need delivery to Paris.",970,"Lyons, Campbell and Olson",Food,Solstice Reverie Oil,Our oil stands out: cold-pressed extra virgin olive oil for cooking and salads. Great for outdoor adventures..,"Munich, Athens",0,0,0.0
52,2024-09-04,Toys,Paris,RFQ: Toys,"Hi, do you have any Toys available? I'm planning to buy soon and need delivery to Paris.",269,"Hill, Hall and Williams",Audio,Nexus Odyssey Headphones,Discover the headphones that reduce ambient noise for focused listening. Perfect for tech-savvy users..,"Copenhagen, Barcelona, Dublin, Budapest, Stockholm",0,0,0.0
52,2024-09-04,Toys,Paris,RFQ: Toys,"Hi, do you have any Toys available? I'm planning to buy soon and need delivery to Paris.",417,"Green, Roberts and Henderson",Books,Cascade Vertex Cookbook,Experience collection of recipes and cooking tips. Loved by eco-conscious spaces..,"Athens, Warsaw",0,0,0.0
52,2024-09-04,Toys,Paris,RFQ: Toys,"Hi, do you have any Toys available? I'm planning to buy soon and need delivery to Paris.",745,"Oneal, Joseph and Watkins",Sporting Goods,Vertex Aura Mat,Experience mat providing cushioning for yoga and exercises. Loved by home enthusiasts..,"Brussels, Stockholm",0,0,0.0
53,2024-09-05,Electronics,Dublin,RFQ: Electronics,"Hello, I'm interested in Electronics. Can you provide product details and pricing for delivery to Dublin?",738,Newman-Walker,Electronics,Luminous Pinnacle Tablet,"Experience touchscreen device for browsing, reading, and apps. Loved by outdoor adventures..","Budapest, Copenhagen",1,0,0.0
53,2024-09-05,Electronics,Dublin,RFQ: Electronics,"Hello, I'm interested in Electronics. Can you provide product details and pricing for delivery to Dublin?",126,"Hall, Campbell and Lewis",Food,Eclipse Arc Bar,"Experience a wholesome snack bar made with oats, honey, and nuts. Loved by on-the-go convenience..","Barcelona, Oslo, Zurich, Dublin, Paris",0,1,0.0
53,2024-09-05,Electronics,Dublin,RFQ: Electronics,"Hello, I'm interested in Electronics. Can you provide product details and pricing for delivery to Dublin?",252,"Davenport, Reed and Burns",Audio,Quantum Horizon Speaker,Our speaker stands out: wireless speaker with bluetooth connectivity and rich sound. Great for outdoor adventures..,"Madrid, Munich",0,0,0.0
53,2024-09-05,Electronics,Dublin,RFQ: Electronics,"Hello, I'm interested in Electronics. Can you provide product details and pricing for delivery to Dublin?",357,Gordon Inc,Beauty,Cascade Essence Lotion,"Introducing our lotion, moisturizer applied to the body to keep skin soft. Ideal for modern lifestyles..","Zurich, Brussels, Munich",0,0,0.0
53,2024-09-05,Electronics,Dublin,RFQ: Electronics,"Hello, I'm interested in Electronics. Can you provide product details and pricing for delivery to Dublin?",193,Christian and Sons,Sporting Goods,Obsidian Aura Tracker,Elevate your experience with wearable device for tracking health metrics. Designed for all-day comfort..,"Helsinki, Budapest, Vienna, Dublin, Rome",0,1,0.0
54,2024-09-06,Books,Prague,Need Books,"Dear supplier, I need Books delivered to Prague. Kindly send me details on availability and cost.",912,Wright LLC,Books,Velvet Aura Book,"Introducing our book, illustrated book for young readers. Ideal for home enthusiasts..","Oslo, Amsterdam, Helsinki, Dublin, Barcelona",1,0,0.0
54,2024-09-06,Books,Prague,Need Books,"Dear supplier, I need Books delivered to Prague. Kindly send me details on availability and cost.",547,Green-Cole,Audio,Eclipse Wave Headphones,Our headphones stands out: headphones that reduce ambient noise for focused listening. Great for home enthusiasts..,"Berlin, Barcelona, Stockholm, Paris",0,0,0.0
54,2024-09-06,Books,Prague,Need Books,"Dear supplier, I need Books delivered to Prague. Kindly send me details on availability and cost.",763,Wood-Marshall,Toys,Radiant Mirage Car,Our car stands out: remote-controlled car powered by batteries. Great for home enthusiasts..,"Lisbon, Brussels, Vienna, Stockholm, Rome",0,0,0.0
54,2024-09-06,Books,Prague,Need Books,"Dear supplier, I need Books delivered to Prague. Kindly send me details on availability and cost.",150,Hayes Inc,Electronics,Nimbus Odyssey Smartwatch,Elevate your experience with wearable gadget with fitness tracking and notifications. Designed for modern lifestyles..,"Stockholm, Copenhagen, Athens, Rome",0,0,0.0
54,2024-09-06,Books,Prague,Need Books,"Dear supplier, I need Books delivered to Prague. Kindly send me details on availability and cost.",644,"King, Greene and Glass",Service,Luminous Arc Tutoring,Discover the one-on-one educational support for various school subjects. Perfect for home enthusiasts..,"Lisbon, Brussels, Vienna, Helsinki, Munich",0,0,0.0
55,2024-09-09,Beauty,Helsinki,Seeking Beauty,"Dear supplier, I need Beauty delivered to Helsinki. Kindly send me details on availability and cost.",321,"Norris, Torres and Lee",Beauty,Luminous Eclipse Shampoo,Elevate your experience with liquid soap for cleaning hair and scalp. Designed for eco-conscious spaces..,"Warsaw, Berlin",1,0,0.0
55,2024-09-09,Beauty,Helsinki,Seeking Beauty,"Dear supplier, I need Beauty delivered to Helsinki. Kindly send me details on availability and cost.",338,"Werner, Frey and Stein",Food,Zenith Solace Chocolate,Experience rich chocolate with a high cocoa content for intense flavor. Loved by all-day comfort..,"Madrid, Brussels, Copenhagen",0,0,0.0
55,2024-09-09,Beauty,Helsinki,Seeking Beauty,"Dear supplier, I need Beauty delivered to Helsinki. Kindly send me details on availability and cost.",200,Davis-Reynolds,Sporting Goods,Vivid Zenith Racket,Elevate your experience with lightweight racket for playing tennis. Designed for everyday use..,"Barcelona, Munich, Rome",0,0,0.0
