date,title,description,delivery_location,product_type
2025-05-01,Need Toys,"Hello, I'm interested in Toys. Can you provide product details and pricing for delivery to Rome?",Rome,Toys
2025-05-02,Need Food,"Dear supplier, I need Food delivered to Vienna. Kindly send me details on availability and cost.",Vienna,Food
2025-05-05,RFQ: Electronics,"Hello, I'm interested in Electronics. Can you provide product details and pricing for delivery to Barcelona?",Barcelona,Electronics
2025-05-06,Looking for Books,"Hello, I'm interested in Books. Can you provide product details and pricing for delivery to Amsterdam?",Amsterdam,Books
2025-05-07,Looking for Audio,"Hi, I'm looking for high-quality Audio to be delivered to Dublin. Please let me know your best offer.",Dublin,Audio
2025-05-08,Need Service,"Hi, do you have any Service available? I'm planning to buy soon and need delivery to Stockholm.",Stockholm,Service
2025-05-09,Looking for Beauty,"Hello, I'm searching for Beauty with specific features. Do you have anything suitable in stock?",Athens,Beauty
2025-05-12,Request for Books,"Hello, I'm searching for Books with specific features. Do you have anything suitable in stock?",Vienna,Books
2025-05-13,RFQ: Books,"Hi, do you have any Books available? I'm planning to buy soon and need delivery to Budapest.",Budapest,Books
2025-05-14,Looking for Electronics,"Dear supplier, I need Electronics delivered to Stockholm. Kindly send me details on availability and cost.",Stockholm,Electronics
2025-05-15,Inquiry: Books,"Hi, I'm looking for high-quality Books to be delivered to Amsterdam. Please let me know your best offer.",Amsterdam,Books
2025-05-16,Need Clothing,"Hi, I'm looking for high-quality Clothing to be delivered to Warsaw. Please let me know your best offer.",Warsaw,Clothing
2025-05-19,Need Toys,"Hello, I'm interested in purchasing Toys for my upcoming project. Could you share your catalog and pricing?",Dublin,Toys
2025-05-20,Request for Clothing,"Hello, I'm interested in purchasing Clothing for my upcoming project. Could you share your catalog and pricing?",Prague,Clothing
2025-05-21,Looking for Toys,"Hello, I'm interested in Toys. Can you provide product details and pricing for delivery to Amsterdam?",Amsterdam,Toys
2025-05-22,RFQ: Books,"Hello, I'm searching for Books with specific features. Do you have anything suitable in stock?",Rome,Books
2025-05-23,Seeking Food,"Dear supplier, I need Food delivered to Budapest. Kindly send me details on availability and cost.",Budapest,Food
2025-05-26,Need Audio,"Dear supplier, I need Audio delivered to Dublin. Kindly send me details on availability and cost.",Dublin,Audio
2025-05-27,RFQ: Service,"Hello, I'm searching for Service with specific features. Do you have anything suitable in stock?",Zurich,Service
2025-05-28,Request for Toys,"Hi, do you have any Toys available? I'm planning to buy soon and need delivery to Brussels.",Brussels,Toys
2025-05-29,Seeking Service,"Dear supplier, I need Service delivered to Rome. Kindly send me details on availability and cost.",Rome,Service
2025-05-30,Request for Furniture,"Hi, do you have any Furniture available? I'm planning to buy soon and need delivery to Athens.",Athens,Furniture
2025-06-02,RFQ: Furniture,"Dear supplier, I need Furniture delivered to Oslo. Kindly send me details on availability and cost.",Oslo,Furniture
2025-06-03,Request for Beauty,"Hello, I'm interested in purchasing Beauty for my upcoming project. Could you share your catalog and pricing?",Zurich,Beauty
2025-06-04,Inquiry: Books,"Hello, I'm interested in Books. Can you provide product details and pricing for delivery to Zurich?",Zurich,Books
2025-06-05,Looking for Clothing,"Dear supplier, I need Clothing delivered to Lisbon. Kindly send me details on availability and cost.",Lisbon,Clothing
2025-06-06,Looking for Beauty,"Dear supplier, I need Beauty delivered to Amsterdam. Kindly send me details on availability and cost.",Amsterdam,Beauty
